date,rank,pixel_id,x_m,y_m,predicted_lst_c
2026-08-11,81,R0248C0089,697515.0,3757965.0,41.173416
2026-08-11,82,R0254C0078,697185.0,3757785.0,41.173416
2026-08-11,83,R0256C0213,701235.0,3757725.0,41.173225
2026-08-11,84,R0256C0214,701265.0,3757725.0,41.173225
2026-08-11,85,R0248C0155,699495.0,3757965.0,41.173225
2026-08-11,86,R0248C0207,701055.0,3757965.0,41.173225
2026-08-11,87,R0246C0154,699465.0,3758025.0,41.173225
2026-08-11,88,R0246C0155,699495.0,3758025.0,41.173225
2026-08-11,89,R0246C0153,699435.0,3758025.0,41.173225
2026-08-11,90,R0261C0126,698625.0,3757575.0,41.173225
2026-08-11,91,R0255C0214,701265.0,3757755.0,41.173225
2026-08-11,92,R0256C0212,701205.0,3757725.0,41.173225
2026-08-11,93,R0247C0153,699435.0,3757995.0,41.173225
2026-08-11,94,R0263C0127,698655.0,3757515.0,41.173225
2026-08-11,95,R0247C0154,699465.0,3757995.0,41.173225
2026-08-11,96,R0247C0155,699495.0,3757995.0,41.173225
2026-08-11,97,R0256C0215,701295.0,3757725.0,41.173225
2026-08-11,98,R0251C0210,701145.0,3757875.0,41.173225
2026-08-11,99,R0251C0208,701085.0,3757875.0,41.173225
2026-08-11,100,R0248C0152,699405.0,3757965.0,41.173225
2026-08-12,1,R0253C0091,697575.0,3757815.0,41.603542
2026-08-12,2,R0168C0187,700455.0,3760365.0,41.589645
2026-08-12,3,R0229C0121,698475.0,3758535.0,41.57409
2026-08-12,4,R0227C0117,698355.0,3758595.0,41.545586
2026-08-12,5,R0226C0116,698325.0,3758625.0,41.52384
2026-08-12,6,R0240C0141,699075.0,3758205.0,41.51037
2026-08-12,7,R0240C0145,699195.0,3758205.0,41.51037
2026-08-12,8,R0240C0140,699045.0,3758205.0,41.51037
2026-08-12,9,R0239C0138,698985.0,3758235.0,41.51037
2026-08-12,10,R0231C0140,699045.0,3758475.0,41.51037
2026-08-12,11,R0234C0147,699255.0,3758385.0,41.51037
2026-08-12,12,R0215C0160,699645.0,3758955.0,41.51037
2026-08-12,13,R0241C0142,699105.0,3758175.0,41.51037
2026-08-12,14,R0239C0145,699195.0,3758235.0,41.51037
2026-08-12,15,R0234C0152,699405.0,3758385.0,41.51037
2026-08-12,16,R0244C0133,698835.0,3758085.0,41.51037
2026-08-12,17,R0240C0139,699015.0,3758205.0,41.51037
2026-08-12,18,R0239C0139,699015.0,3758235.0,41.51037
2026-08-12,19,R0239C0140,699045.0,3758235.0,41.51037
2026-08-12,20,R0239C0141,699075.0,3758235.0,41.51037
2026-08-12,21,R0245C0116,698325.0,3758055.0,41.51037
2026-08-12,22,R0240C0138,698985.0,3758205.0,41.51037
2026-08-12,23,R0240C0142,699105.0,3758205.0,41.51037
2026-08-12,24,R0240C0144,699165.0,3758205.0,41.51037
2026-08-12,25,R0241C0143,699135.0,3758175.0,41.51037
2026-08-12,26,R0241C0128,698685.0,3758175.0,41.51037
2026-08-12,27,R0245C0132,698805.0,3758055.0,41.51037
2026-08-12,28,R0220C0116,698325.0,3758805.0,41.502357
2026-08-12,29,R0237C0153,699435.0,3758295.0,41.496796
2026-08-12,30,R0168C0188,700485.0,3760365.0,41.493107
2026-08-12,31,R0252C0091,697575.0,3757845.0,41.490997
2026-08-12,32,R0253C0090,697545.0,3757815.0,41.490997
